value,source_id,notes_ids,iso3,Country__ESTANDAR,Years__ESTANDAR,Deciles,Geographical area
5.05321,26,8620,,Latin America (simple average),2009,Decile 4,Rural
6.19878,26,8620,,Latin America (simple average),2009,Decile 5,Rural
7.54565,26,8620,,Latin America (simple average),2009,Decile 6,Rural
9.2938,26,8620,,Latin America (simple average),2009,Decile 7,Rural
11.6734,26,8620,,Latin America (simple average),2009,Decile 8,Rural
15.69191,26,8620,,Latin America (simple average),2009,Decile 9,Rural
1.74169,26,8620,,Latin America (simple average),2009,Decile 1,Urban
36.22932,26,8620,,Latin America (simple average),2009,Decile 10,Urban
3.05602,26,8620,,Latin America (simple average),2009,Decile 2,Urban
4.03576,26,8620,,Latin America (simple average),2009,Decile 3,Urban
4.98744,26,8620,,Latin America (simple average),2009,Decile 4,Urban
6.07236,26,8620,,Latin America (simple average),2009,Decile 5,Urban
7.37194,26,8620,,Latin America (simple average),2009,Decile 6,Urban
9.01466,26,8620,,Latin America (simple average),2009,Decile 7,Urban
11.52944,26,8620,,Latin America (simple average),2009,Decile 8,Urban
15.96137,26,8620,,Latin America (simple average),2009,Decile 9,Urban
1.47819,26,8620,,Latin America (simple average),2010,Decile 1,National
37.61939,26,8620,,Latin America (simple average),2010,Decile 10,National
2.72805,26,8620,,Latin America (simple average),2010,Decile 2,National
3.70062,26,8620,,Latin America (simple average),2010,Decile 3,National
4.72231,26,8620,,Latin America (simple average),2010,Decile 4,National
5.85897,26,8620,,Latin America (simple average),2010,Decile 5,National
7.25786,26,8620,,Latin America (simple average),2010,Decile 6,National
8.91426,26,8620,,Latin America (simple average),2010,Decile 7,National
11.54741,26,8620,,Latin America (simple average),2010,Decile 8,National
16.17294,26,8620,,Latin America (simple average),2010,Decile 9,National
1.73559,26,8620,,Latin America (simple average),2010,Decile 1,Rural
35.75478,26,8620,,Latin America (simple average),2010,Decile 10,Rural
3.02411,26,8620,,Latin America (simple average),2010,Decile 2,Rural
4.02135,26,8620,,Latin America (simple average),2010,Decile 3,Rural
5.06359,26,8620,,Latin America (simple average),2010,Decile 4,Rural
6.21087,26,8620,,Latin America (simple average),2010,Decile 5,Rural
7.55271,26,8620,,Latin America (simple average),2010,Decile 6,Rural
9.27615,26,8620,,Latin America (simple average),2010,Decile 7,Rural
11.65607,26,8620,,Latin America (simple average),2010,Decile 8,Rural
15.70479,26,8620,,Latin America (simple average),2010,Decile 9,Rural
