value,source_id,notes_ids,iso3,Country__ESTANDAR,Years__ESTANDAR
1.14,77,,HTI,Haiti,2006
2.28,77,,HND,Honduras,2006
1.14,77,,JAM,Jamaica,2006
2.28,77,,MEX,Mexico,2006
1.14,77,,NIC,Nicaragua,2006
2.28,77,,PAN,Panama,2006
1.14,77,,PRY,Paraguay,2006
2.28,77,,PER,Peru,2006
1.14,77,,KNA,Saint Kitts and Nevis,2006
2.28,77,,LCA,Saint Lucia,2006
1.14,77,,SUR,Suriname,2006
2.28,77,,TTO,Trinidad and Tobago,2006
1.14,77,,URY,Uruguay,2006
2.28,77,,VEN,Venezuela (Bolivarian Republic of),2006
1.19,77,,ARG,Argentina,2007
2.31,77,,BHS,Bahamas,2007
1.19,77,,BRB,Barbados,2007
2.31,77,,BLZ,Belize,2007
1.19,77,,BOL,Bolivia (Plurinational State of),2007
2.31,77,,BRA,Brazil,2007
1.19,77,,CHL,Chile,2007
2.31,77,,COL,Colombia,2007
1.19,77,,CRI,Costa Rica,2007
2.31,77,,CUB,Cuba,2007
1.19,77,,DOM,Dominican Republic,2007
2.31,77,,ECU,Ecuador,2007
1.19,77,,SLV,El Salvador,2007
2.31,77,,GUY,Guyana,2007
1.19,77,,HTI,Haiti,2007
2.31,77,,HND,Honduras,2007
1.19,77,,JAM,Jamaica,2007
2.31,77,,MEX,Mexico,2007
1.19,77,,NIC,Nicaragua,2007
2.31,77,,PAN,Panama,2007
1.19,77,,PRY,Paraguay,2007
2.31,77,,PER,Peru,2007
1.19,77,,KNA,Saint Kitts and Nevis,2007
2.31,77,,LCA,Saint Lucia,2007
1.19,77,,SUR,Suriname,2007
2.31,77,,TTO,Trinidad and Tobago,2007
1.19,77,,URY,Uruguay,2007
2.31,77,,VEN,Venezuela (Bolivarian Republic of),2007
1.26,77,,ARG,Argentina,2008
2.24,77,,BHS,Bahamas,2008
1.26,77,,BRB,Barbados,2008
2.24,77,,BLZ,Belize,2008
1.26,77,,BOL,Bolivia (Plurinational State of),2008
2.24,77,,BRA,Brazil,2008
1.26,77,,CHL,Chile,2008
2.24,77,,COL,Colombia,2008
1.26,77,,CRI,Costa Rica,2008
2.24,77,,CUB,Cuba,2008
1.26,77,,DOM,Dominican Republic,2008
2.24,77,,ECU,Ecuador,2008
1.26,77,,SLV,El Salvador,2008
2.24,77,,GUY,Guyana,2008
1.26,77,,HTI,Haiti,2008
2.24,77,,HND,Honduras,2008
1.26,77,,JAM,Jamaica,2008
2.24,77,,MEX,Mexico,2008
1.26,77,,NIC,Nicaragua,2008
2.24,77,,PAN,Panama,2008
1.26,77,,PRY,Paraguay,2008
2.24,77,,PER,Peru,2008
1.26,77,,KNA,Saint Kitts and Nevis,2008
2.24,77,,LCA,Saint Lucia,2008
1.26,77,,SUR,Suriname,2008
2.24,77,,TTO,Trinidad and Tobago,2008
1.26,77,,URY,Uruguay,2008
2.24,77,,VEN,Venezuela (Bolivarian Republic of),2008
